"Movie_Name","Movie_Original_Name","Movie_Original_Name_url","Movie_Cast","Movie_Score","Movie_Slogan","Movie_Comments"
"乱世佳人","/ Gone with the Wind","https://movie.douban.com/subject/1300267/","导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费...
1939 / 美国 / 剧情 历史 爱情 战争","9.2","Tomorrow is another day.","325166人评价"
"怦然心动","/ Flipped","https://movie.douban.com/subject/3319755/","导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
2010 / 美国 / 剧情 喜剧 爱情","9.0","真正的幸福是来自内心深处。","723879人评价"
"指环王2：双塔奇兵","/ The Lord of the Rings: The Two Towers","https://movie.douban.com/subject/1291572/","导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...
2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险","9.0","承前启后的史诗篇章。","324159人评价"
"指环王1：魔戒再现","/ The Lord of the Rings: The Fellowship of the Ring","https://movie.douban.com/subject/1291571/","导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...
2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险","8.9","传说的开始。","363056人评价"
"美丽心灵","/ A Beautiful Mind","https://movie.douban.com/subject/1306029/","导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈...
2001 / 美国 / 传记 剧情","8.9","爱是一切逻辑和原由。","362230人评价"
"饮食男女","/ 飲食男女","https://movie.douban.com/subject/1291818/","导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
1994 / 台湾 美国 / 剧情 家庭","9.1","人生不能像做菜，把所有的料都准备好了才下锅。","248255人评价"
"情书","/ Love Letter","https://movie.douban.com/subject/1292220/","导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
1995 / 日本 / 剧情 爱情","8.8","暗恋的极致。","443304人评价"
"素媛","/ 소원","https://movie.douban.com/subject/21937452/","导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
2013 / 韩国 / 剧情","9.1","受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。","232638人评价"
"狮子王","/ The Lion King","https://movie.douban.com/subject/1301753/","导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马...
1994 / 美国 / 剧情 动画 冒险 歌舞 家庭","8.9","动物版《哈姆雷特》。","340514人评价"
"美国往事","/ Once Upon a Time in America","https://movie.douban.com/subject/1292262/","导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ...
1984 / 意大利 美国 / 犯罪 剧情","9.1","往事如烟，无处祭奠。","206771人评价"
"钢琴家","/ The Pianist","https://movie.douban.com/subject/1296736/","导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod...
2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐","9.1","音乐能化解仇恨。","239020人评价"
"小鞋子","/ بچههای آسمان","https://movie.douban.com/subject/1303021/","导演: 马基德·马基迪 Majid Majidi 主演: Amir Farrokh Hashemian / 默罕...
1997 / 伊朗 / 剧情 家庭 儿童","9.2","奔跑的孩子是天使。","171548人评价"
